environment,agent,beta,lambda,epsilon,scope,target_type,target_definition,aggregation_level,requested_coverage,realized_coverage,retained_rows,total_informative_rows,selective_risk,selective_risk_ci_low,selective_risk_ci_high,bootstrap_available_seed_count,source_file
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,1.0,1.0,378,378,0.6143051861216684,0.48563944322092645,0.7478580574355222,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.9,0.9047619047619048,342,378,0.5956665547883903,0.44200230149597247,0.7567209162145871,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.8,0.8042328042328042,304,378,0.6055576406845435,0.43651405714943453,0.7682937181663837,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.7,0.7037037037037037,266,378,0.6085376122706334,0.47402269861286256,0.7666443626630981,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.6,0.6058201058201058,229,378,0.6118095717420728,0.4807160322615963,0.7498187858652974,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.5,0.5052910052910053,191,378,0.5945434745434746,0.43025578025578026,0.7686080586080586,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.3999999999999999,0.40476190476190477,153,378,0.5772223105037344,0.3776958525345622,0.7767487684729064,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.29999999999999993,0.30687830687830686,116,378,0.5307599807599808,0.31969696969696965,0.7366041366041365,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.19999999999999996,0.20634920634920634,78,378,0.4773015873015873,0.27285714285714285,0.6901587301587302,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e4,0.02,10.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.1,0.10582010582010581,40,378,0.4325396825396826,0.16111111111111112,0.6753968253968254,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,1.0,1.0,378,378,0.6143051861216684,0.48464685998932583,0.7478580574355222,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.9,0.9047619047619048,342,378,0.5956665547883903,0.44400162337662347,0.7469120454088809,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.8,0.8042328042328042,304,378,0.6055576406845435,0.4481683980317113,0.7682937181663837,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.7,0.7037037037037037,266,378,0.6085376122706334,0.44723076923076927,0.7667755102040816,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.6,0.6058201058201058,229,378,0.6118095717420728,0.48759165129773735,0.7570721707782568,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.5,0.5052910052910053,191,378,0.5945434745434746,0.4361179361179362,0.7686080586080586,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.3999999999999999,0.40476190476190477,153,378,0.5772223105037344,0.3776958525345622,0.7708374384236453,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.29999999999999993,0.30687830687830686,116,378,0.5307599807599808,0.31969696969696965,0.7366041366041365,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.19999999999999996,0.20634920634920634,78,378,0.4773015873015873,0.26416666666666666,0.6901587301587302,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l10_e1e8,0.02,10.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.1,0.10582010582010581,40,378,0.4325396825396826,0.16111111111111112,0.6753968253968254,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l10_e1e8.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l1_e1e4,0.02,1.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,1.0,1.0,378,378,0.6196423147464682,0.49631370047052614,0.7539901477832512,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l1_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l1_e1e4,0.02,1.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.9,0.9047619047619048,342,378,0.6307315697663799,0.4915422077922078,0.7637492465340567,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l1_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l1_e1e4,0.02,1.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.8,0.8042328042328042,304,378,0.6257325996785292,0.4917441224712958,0.7707142857142857,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l1_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l1_e1e4,0.02,1.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.7,0.7037037037037037,266,378,0.6417308307097535,0.4956774555135211,0.788997732426304,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l1_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l1_e1e4,0.02,1.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.6,0.6058201058201058,229,378,0.65140571697899,0.5224258917727497,0.7944629014396456,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l1_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l1_e1e4,0.02,1.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.5,0.5052910052910053,191,378,0.6363954663954664,0.4937188937188937,0.795103785103785,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l1_e1e4.csv.gz
ReliabilityShift-boundary-020-calibration-development,rel_b002_l1_e1e4,0.02,1.0,0.0001,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,mean_seed_selective_error_rate,0.3999999999999999,0.40476190476190477,153,378,0.6091879866518354,0.42211981566820284,0.7943103448275861,5,results/reviewer1_remaining/reliability_calibration/development/raw_parts/ReliabilityShift-boundary-020-calibration-development__rel_b002_l1_e1e4.csv.gz
