environment,agent,beta,lambda,epsilon,scope,target_type,target_definition,positive_class,score_definition,aggregation_level,n_rows,n_seeds,n_positive,n_negative,auroc,auroc_ci_low,auroc_ci_high,auroc_available_seed_count,average_precision,average_precision_ci_low,average_precision_ci_high,average_precision_available_seed_count,balanced_accuracy_0_5,balanced_accuracy_0_5_ci_low,balanced_accuracy_0_5_ci_high,balanced_accuracy_0_5_available_seed_count,brier_score,brier_score_ci_low,brier_score_ci_high,brier_score_available_seed_count,auroc_availability,source_file
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,pre_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1225,10,1225,0,,,,0,1.0,1.0,1.0,10,,,,0,0.20712586888287365,0.19747858029037244,0.21465548062834103,10,not_available_single_class,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,same_input_crisp,0.05,5.0,1e-08,pre_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1233,10,1233,0,,,,0,1.0,1.0,1.0,10,,,,0,0.20724645724575347,0.19793500501374092,0.215558752396113,10,not_available_single_class,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,pre_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1225,10,1225,0,,,,0,1.0,1.0,1.0,10,,,,0,0.20712586888287365,0.1980088458388742,0.21503736679581031,10,not_available_single_class,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,pre_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1233,10,1233,0,,,,0,1.0,1.0,1.0,10,,,,0,0.20724645724575347,0.1974820583043803,0.21537420095932863,10,not_available_single_class,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,pre_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,7379,10,3752,3627,0.9115322407448531,0.8841688242955759,0.9328741209585096,10,0.9190153591613365,0.9063563171869015,0.9315711683913807,10,0.7944197315752156,0.7490835461044812,0.8312874426955882,10,0.20992513854649814,0.20724046227576104,0.2121872977068201,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,same_input_crisp,0.05,5.0,1e-08,pre_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,7380,10,3708,3672,0.913575397284719,0.8849695938621756,0.9341018928698578,10,0.9179591361093357,0.906291463052456,0.9283214942284862,10,0.7934673177791568,0.7485253786850384,0.8276589466800516,10,0.21025766390323453,0.20778997021322426,0.21223773267671064,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,pre_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,7379,10,3752,3627,0.9115322407448531,0.8846438290423034,0.9334614139776053,10,0.9190153591613365,0.9064703631144325,0.9315438911193846,10,0.7944197315752156,0.7469590799297361,0.8302354983814733,10,0.20992513854649814,0.20718800636910306,0.21221486592663943,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,pre_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,7380,10,3708,3672,0.913575397284719,0.8860133738320051,0.9344186143107069,10,0.9179591361093357,0.9074630487185351,0.9291100929147404,10,0.7934673177791568,0.7487850516678048,0.8293069394510943,10,0.21025766390323453,0.2079225992213275,0.21242380327661917,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,786,10,25,761,0.9343759726112668,0.8316993464052288,1.0,3,0.7058520782653416,0.3333333333333333,1.0,3,0.7966483815748523,0.7140522875816994,0.86875,3,0.20985507079731783,0.19850395016940883,0.22567482061715344,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,800,10,26,774,0.938504551004551,0.8640873015873015,0.9948717948717949,6,0.7354633909718654,0.41728157279004735,0.9815913370998116,6,0.7828786557810531,0.730601637707802,0.8320348836380513,6,0.22189249161724076,0.21037835498199225,0.23826754473357437,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
