candidate_id,estimator_family,estimator_type,representation,slot_id,k,h,tau_approx,regularization,requested_index,effective_index,embedding_freeze_step,k_semantics,candidate_registry_sha256,source_file
frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,4000,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,8000,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,12000,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,6000,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,,declared_matched_slot_but_density_uses_all_stored_keys,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,,declared_matched_slot_but_density_uses_all_stored_keys,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
gaussian_density_s3,gaussian_density,regularized_gaussian_density,raw_state,s3,7,1.0,8.0,0.01,brute_force,brute_force_density_preserving,,declared_matched_slot_but_density_uses_all_stored_keys,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
gaussian_density_s4,gaussian_density,regularized_gaussian_density,raw_state,s4,9,2.0,2.0,0.1,auto,brute_force_density_preserving,,declared_matched_slot_but_density_uses_all_stored_keys,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
mahalanobis_s1,mahalanobis,regularized_mahalanobis,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_metric_preserving,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
mahalanobis_s2,mahalanobis,regularized_mahalanobis,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_metric_preserving,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
mahalanobis_s3,mahalanobis,regularized_mahalanobis,raw_state,s3,7,1.0,8.0,0.01,brute_force,brute_force_metric_preserving,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
mahalanobis_s4,mahalanobis,regularized_mahalanobis,raw_state,s4,9,2.0,2.0,0.1,auto,brute_force_metric_preserving,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized_s1,raw_normalized,gaussian_affinity,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized_s2,raw_normalized,gaussian_affinity,raw_state,s2,5,0.5,4.0,0.001,auto,auto,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized_s3,raw_normalized,gaussian_affinity,raw_state,s3,7,1.0,8.0,0.01,brute_force,brute_force,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized_s4,raw_normalized,gaussian_affinity,raw_state,s4,9,2.0,2.0,0.1,auto,auto,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
zscore_s1,zscore,zscore_knn,zscore_normalized_raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
zscore_s2,zscore,zscore_knn,zscore_normalized_raw_state,s2,5,0.5,4.0,0.001,auto,auto,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
zscore_s3,zscore,zscore_knn,zscore_normalized_raw_state,s3,7,1.0,8.0,0.01,brute_force,brute_force,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
zscore_s4,zscore,zscore_knn,zscore_normalized_raw_state,s4,9,2.0,2.0,0.1,auto,auto,,nearest_k_retrieval,929524efaffc9d0fa9f96ba39c7cf0cd9787206e78be14cc156aa22b1ec52234,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
